자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간,이용거리
SPB-10735,2019.11.3 12:15,00106,합정역 7번출구 앞,10,2019.11.3 12:41,00101,(구)합정동 주민센터,1,25,2180
SPB-07497,2019.11.3 12:46,00151,망원1동주민센터,4,2019.11.3 12:54,00101,(구)합정동 주민센터,5,7,1080
SPB-05156,2019.11.3 14:04,00103,망원역 2번출구 앞,8,2019.11.3 14:40,00101,(구)합정동 주민센터,5,35,1140
SPB-23965,2019.11.3 14:39,00152,마포구민체육센터 앞,28,2019.11.3 14:46,00101,(구)합정동 주민센터,1,6,1100
SPB-21140,2019.11.3 15:38,00104,합정역 1번출구 앞,10,2019.11.3 15:46,00101,(구)합정동 주민센터,1,7,0
SPB-21140,2019.11.3 16:09,00106,합정역 7번출구 앞,9,2019.11.3 16:14,00101,(구)합정동 주민센터,2,4,0
SPB-18241,2019.11.3 14:26,02103,신림동 우방아파트,3,2019.11.3 16:27,00101,(구)합정동 주민센터,4,121,17060
SPB-14209,2019.11.3 14:26,02103,신림동 우방아파트,1,2019.11.3 16:28,00101,(구)합정동 주민센터,1,121,16910
SPB-06227,2019.11.3 16:27,00151,망원1동주민센터,8,2019.11.3 16:34,00101,(구)합정동 주민센터,3,6,1170
SPB-16593,2019.11.3 17:16,00106,합정역 7번출구 앞,1,2019.11.3 18:11,00101,(구)합정동 주민센터,5,54,860
SPB-18241,2019.11.3 17:45,00101,(구)합정동 주민센터,4,2019.11.3 18:12,00101,(구)합정동 주민센터,4,26,2560
SPB-20935,2019.11.3 18:09,00183,하늘채코오롱아파트 건너편,13,2019.11.3 18:29,00101,(구)합정동 주민센터,1,18,2700
SPB-17422,2019.11.3 19:34,00151,망원1동주민센터,9,2019.11.3 19:48,00101,(구)합정동 주민센터,1,13,1050
SPB-06227,2019.11.3 19:35,00151,망원1동주민센터,8,2019.11.3 19:48,00101,(구)합정동 주민센터,3,12,1060
SPB-14926,2019.11.3 19:46,00106,합정역 7번출구 앞,6,2019.11.3 19:53,00101,(구)합정동 주민센터,5,6,910
SPB-15011,2019.11.3 19:53,00182,망원2빗물펌프장 앞,4,2019.11.3 20:31,00101,(구)합정동 주민센터,4,37,4240
SPB-24564,2019.11.3 19:24,00182,망원2빗물펌프장 앞,3,2019.11.3 20:38,00101,(구)합정동 주민센터,1,72,8530
SPB-21795,2019.11.3 20:59,00106,합정역 7번출구 앞,8,2019.11.3 21:04,00101,(구)합정동 주민센터,3,5,450
SPB-12801,2019.11.3 21:15,00114,홍대입구역 8번출구 앞,3,2019.11.3 21:33,00101,(구)합정동 주민센터,1,16,1940
SPB-22075,2019.11.3 21:50,00152,마포구민체육센터 앞,1,2019.11.3 21:57,00101,(구)합정동 주민센터,1,6,970
SPB-07429,2019.11.3 21:39,00440,하늘공원 입구,5,2019.11.3 22:06,00101,(구)합정동 주민센터,2,25,4030
SPB-14782,2019.11.3 22:17,00184,SK망원동주유소 건너편,1,2019.11.3 22:26,00101,(구)합정동 주민센터,1,8,1490
SPB-18241,2019.11.3 22:31,00196,연희교차로 인근,1,2019.11.3 22:58,00101,(구)합정동 주민센터,5,26,4430
SPB-21795,2019.11.3 22:56,00101,(구)합정동 주민센터,3,2019.11.3 23:02,00101,(구)합정동 주민센터,2,5,280
SPB-03349,2019.11.3 23:03,00124,서강대 정문 건너편,5,2019.11.3 23:23,00101,(구)합정동 주민센터,3,19,3470
SPB-22403,2019.11.3 23:45,00119,서강나루 공원,10,2019.11.3 23:59,00101,(구)합정동 주민센터,5,12,1530
SPB-18241,2019.11.3 23:45,00101,(구)합정동 주민센터,5,2019.11.4 00:16,00101,(구)합정동 주민센터,5,30,3810
SPB-24421,2019.11.4 00:01,00419,홈플러스 앞,11,2019.11.4 00:29,00101,(구)합정동 주민센터,5,27,3540
SPB-24856,2019.11.4 00:05,00419,홈플러스 앞,14,2019.11.4 00:29,00101,(구)합정동 주민센터,1,22,4250
SPB-01878,2019.11.4 00:03,00419,홈플러스 앞,15,2019.11.4 00:29,00101,(구)합정동 주민센터,1,25,4450
SPB-07435,2019.11.4 02:08,00151,망원1동주민센터,7,2019.11.4 02:14,00101,(구)합정동 주민센터,3,5,700
SPB-24875,2019.11.4 03:56,00264,교보생명보험 앞,3,2019.11.4 04:12,00101,(구)합정동 주민센터,1,15,3320
SPB-01717,2019.11.4 09:09,00438,성산2-1 공영주차장,1,2019.11.4 09:26,00101,(구)합정동 주민센터,4,15,3900
SPB-06287,2019.11.4 09:05,00203,국회의사당역 3번출구 옆,1,2019.11.4 09:28,00101,(구)합정동 주민센터,3,22,5020
SPB-15658,2019.11.4 10:08,00228,선유도역 3번출구 앞,6,2019.11.4 10:28,00101,(구)합정동 주민센터,5,20,2860
SPB-15658,2019.11.4 11:03,00101,(구)합정동 주민센터,5,2019.11.4 12:27,00101,(구)합정동 주민센터,4,83,3850
SPB-15658,2019.11.4 12:38,00101,(구)합정동 주민센터,4,2019.11.4 12:53,00101,(구)합정동 주민센터,2,14,2590
SPB-22075,2019.11.4 12:25,00101,(구)합정동 주민센터,1,2019.11.4 12:54,00101,(구)합정동 주민센터,5,27,490
SPB-15142,2019.11.4 12:33,00152,마포구민체육센터 앞,23,2019.11.4 13:17,00101,(구)합정동 주민센터,4,44,0
SPB-24564,2019.11.4 14:47,00101,(구)합정동 주민센터,1,2019.11.4 15:27,00101,(구)합정동 주민센터,1,39,3300
SPB-19967,2019.11.4 15:01,00102,망원역 1번출구 앞,11,2019.11.4 15:30,00101,(구)합정동 주민센터,3,27,2010
SPB-00069,2019.11.4 15:01,00102,망원역 1번출구 앞,12,2019.11.4 15:30,00101,(구)합정동 주민센터,4,28,1940
SPB-17778,2019.11.4 15:23,00184,SK망원동주유소 건너편,9,2019.11.4 15:34,00101,(구)합정동 주민센터,5,11,1700
SPB-17778,2019.11.4 17:16,00101,(구)합정동 주민센터,5,2019.11.4 17:41,00101,(구)합정동 주민센터,1,24,1750
SPB-24758,2019.11.4 17:59,00106,합정역 7번출구 앞,7,2019.11.4 18:20,00101,(구)합정동 주민센터,5,20,1130
SPB-20844,2019.11.4 17:55,00115,사루비아 빌딩 앞,3,2019.11.4 18:21,00101,(구)합정동 주민센터,1,24,3110
SPB-23976,2019.11.4 18:00,00129,신촌역(2호선) 6번출구 옆,9,2019.11.4 18:27,00101,(구)합정동 주민센터,3,25,3350
SPB-05001,2019.11.4 18:23,00102,망원역 1번출구 앞,19,2019.11.4 18:30,00101,(구)합정동 주민센터,2,6,1180
SPB-12291,2019.11.4 18:10,00409,누리꿈스퀘어 옆,1,2019.11.4 18:34,00101,(구)합정동 주민센터,4,23,4660
SPB-02431,2019.11.4 18:18,00148,용강동 주민센터 앞,1,2019.11.4 18:45,00101,(구)합정동 주민센터,1,27,5510
SPB-08458,2019.11.4 18:44,00108,서교동 사거리,5,2019.11.4 19:03,00101,(구)합정동 주민센터,2,18,2100
SPB-13180,2019.11.4 18:45,00108,서교동 사거리,4,2019.11.4 19:03,00101,(구)합정동 주민센터,1,17,1590
SPB-22308,2019.11.4 19:39,00106,합정역 7번출구 앞,8,2019.11.4 19:46,00101,(구)합정동 주민센터,4,6,910
